,IND,StateValue
0,0,0.0
1,0,-0.17985916137695312
2,1,-0.2355365753173828
3,2,-0.03826761245727539
4,3,-1.2776706218719482
5,4,-0.2992188334465027
6,5,-0.25208747386932373
7,6,-0.1921677589416504
8,7,-1.2347488403320312
9,8,-0.3271632194519043
10,9,-0.23740792274475098
11,10,-0.21554183959960938
12,11,-0.1271815299987793
13,12,-0.07773518562316895
14,13,-0.06022953987121582
15,14,-0.1629951000213623
16,16,0.06717729568481445
17,17,-0.06716179847717285
18,18,-0.04028058052062988
19,19,-0.11668729782104492
20,20,-0.03525733947753906
21,21,0.08769464492797852
22,22,0.05901336669921875
23,23,-0.0739445686340332
24,28,0.10658693313598633
25,38,0.024617910385131836
26,54,0.02550482749938965
27,92,0.025288105010986328
28,99,-0.031442880630493164
29,100,-0.02771902084350586
30,183,-0.021459579467773438
31,203,0.02281475067138672
32,229,-0.023975610733032227
33,314,-0.020745038986206055
34,316,-0.02077007293701172
35,317,-0.021353483200073242
36,330,-0.02308344841003418
37,351,0.020551204681396484
38,391,0.02141284942626953
39,403,0.02818584442138672
